objectid,title,creator,date,color,description,subject,extent,size,medium,frame status,mat status,source,identifier,format,rights,rightsstatement,available,display_template,object_location,filename,image_small,image_thumb,image_alt_text,dominant color,Copies,Location,Donor if know,type,display_template
artloanprogram_00031,Forest Glade,"Scharff, C.",,yes,abstract image of forest and water,abstract,15 7/8 in x 20 in,medium,print,Not Framed,Matted,"Art Loan, box 1, item 31",artloan_b1_0031,image/jpg,,,yes,image,/objects/artloan_b1_0031.jpg,artloan_b1_0031.jpg,/objects/small/artloan_b1_0031_sm.jpg,/objects/thumbs/artloan_b1_0031_th.jpg,,blue ; green,,,,,
artloanprogram_00032,View of the Nuovo Ghetto,"Dureghello, Alessandra",1998,no,large city square in black and white,cityscape,13 6/8 in x 19 1/2 in,medium,drawing,Not Framed,Not Matted,"Art Loan, box 1, item 32",artloan_b1_0032,image/jpg,,,yes,image,/objects/artloan_b1_0032.jpg,artloan_b1_0032.jpg,/objects/small/artloan_b1_0032_sm.jpg,/objects/thumbs/artloan_b1_0032_th.jpg,,black,,,,,
artloanprogram_00033,Bullfighter,"F., C.",,no,matador-like figure with spear and two animals,animals ; figures,7 6/8 in x 10 2/8,small,etching,Not Framed,Not Matted,"Art Loan, box 1, item 33",artloan_b1_0033,image/jpg,,,yes,image,/objects/artloan_b1_0033.jpg,artloan_b1_0033.jpg,/objects/small/artloan_b1_0033_sm.jpg,/objects/thumbs/artloan_b1_0033_th.jpg,,black,,,,,
artloanprogram_00034,Three Kings,"Watanabe, Sadao",1967,yes,abstract print of Nativity scene,religious ; figures ; animals,14 in x 9 in,medium,print,Not Framed,Matted,"Art Loan, box 1, item 34",artloan_b1_0034,image/jpg,,,yes,image,/objects/artloan_b1_0034.jpg,artloan_b1_0034.jpg,/objects/small/artloan_b1_0034_sm.jpg,/objects/thumbs/artloan_b1_0034_th.jpg,,multicolor,,,,,
artloanprogram_00035,Man's Head,Unknown,,no,portrait of a man's face in black and white,portrait ; figures,14 in x 11 in,small,drawing,Not Framed,Matted,"Art Loan, box 1, item 35",artloan_b1_0035,image/jpg,,,yes,image,/objects/artloan_b1_0035.jpg,artloan_b1_0035.jpg,/objects/small/artloan_b1_0035_sm.jpg,/objects/thumbs/artloan_b1_0035_th.jpg,,black,,,,,
artloanprogram_00036,Preve d'e,"Torizzo, Angelica",1970,no,abstract figures in foreground and two cloaked figures going under archway in background,figures,16 in x 13 5/8 in,medium,drawing,Not Framed,Not Matted,"Art Loan, box 1, item 36",artloan_b1_0036,image/jpg,,,yes,image,/objects/artloan_b1_0036.jpg,artloan_b1_0036.jpg,/objects/small/artloan_b1_0036_sm.jpg,/objects/thumbs/artloan_b1_0036_th.jpg,,black,,,,,
artloanprogram_00037,Abstract Color,Dilli,1978,yes,abstract print with rainbows and black-and-white checker patterns,abstract,13 in x 10 in,small,painting,Not Framed,Not Matted,"Art Loan, box 1, item 37",artloan_b1_0037,image/jpg,,,yes,image,/objects/artloan_b1_0037.jpg,artloan_b1_0037.jpg,/objects/small/artloan_b1_0037_sm.jpg,/objects/thumbs/artloan_b1_0037_th.jpg,,multicolor,,,,,
artloanprogram_00038,Piazza San Marco,Amen,,yes,abstract representation of Italian city square,cityscape ; modernist ; abstract,13 3/8 in x 16 1/8 in,medium,print,Not Framed,Not Matted,"Art Loan, box 1, item 38",artloan_b1_0038,image/jpg,,,yes,image,/objects/artloan_b1_0038.jpg,artloan_b1_0038.jpg,/objects/small/artloan_b1_0038_sm.jpg,/objects/thumbs/artloan_b1_0038_th.jpg,,multicolor,,,,,
artloanprogram_00039,Doris Russell,"Hutchinson, Mary E.",1943,no,side profile portrait of woman in pencil,portrait ; women ; figures,16 7/8 in x 13 2/8,medium,drawing,Not Framed,Not Matted,"Art Loan, box 1, item 39",artloan_b1_0039,image/jpg,,,yes,image,/objects/artloan_b1_0039.jpg,artloan_b1_0039.jpg,/objects/small/artloan_b1_0039_sm.jpg,/objects/thumbs/artloan_b1_0039_th.jpg,,gray,,,,,
artloanprogram_00040,Asleep,"M. Zlowe, Horace",,no,abstract figures,figures ; modernist,15 8/9 x 18,medium,woodblock print,Not Framed,Matted,"Art Loan, box 2, item 1",artloan_b2_0001,image/jpg,,,yes,image,/objects/artloan_b2_0001.jpg,artloan_b2_0001.jpg,/objects/small/artloan_b2_0001_sm.jpg,/objects/thumbs/artloan_b2_0001_th.jpg,,black,,CC3_FF_Box2,,,
